CityName,Name,HotelName1,HotelName2,HotelName3,HotelName4,HotelName5
,India Gate,Pearl India Suites,Royal India Villa,Bliss India Heritage,Emerald India Lodge,Pearl India Palace
,Humayun's Tomb,Luxury Humayun's Resort,Bliss India Palace,Classic India Retreat,Valley India Suites,Luxury India Heritage
,Akshardham Temple,Silver India Inn,Golden Akshardham Collection,Heritage Akshardham Suites,Majestic Akshardham Retreat,Blue India Suites
,Waste to Wonder Park,Majestic India Heritage,Pearl Waste Grand Hotel,Royal Waste Retreat,Crystal India Heritage,Pearl Waste Grand Hotel
,Jantar Mantar,Heritage Jantar Heritage,Bliss Jantar Inn,Pearl India Stay,Silver Jantar Retreat,Silver India Residency
,Chandni Chowk,Sunset Chandni Heritage,Classic Chandni Cottages,Valley Chandni Inn,Maple India Retreat,Majestic Chandni Lodge
,Lotus Temple,Royal Lotus Resort,Emerald Lotus Residency,Heritage India Villa,Maple Lotus Suites,Classic India Palace
,Red Fort,Classic India Villa,Maple Red Palace,Silver India Lodge,Sunset India Inn,Golden India Villa
,Agrasen ki Baoli,Blue India Retreat,Serene India Palace,Majestic India Villa,Sunset India Villa,Golden India Villa
,Sunder Nursery,Majestic India Palace,Heritage Sunder Suites,Blue Sunder Haven,Bliss India Retreat,Royal India Residency
,Garden of Five Senses,Luxury India Suites,Luxury India Heritage,Bliss Garden Heritage,Majestic India Heritage,Sunset India Lodge
,Lodhi Garden,Serene Lodhi Cottages,Classic Lodhi Collection,Luxury India Palace,Serene Lodhi Collection,Silver India Lodge
,National Gallery of Modern Art,Blue India Residency,Heritage National Palace,Majestic National Suites,Heritage India Heritage,Sunset National Inn
,National Zoological Park,Silver India Suites,Sunset India Retreat,Maple India Suites,Sunset National Palace,Emerald National Grand Hotel
,Qutub Minar,Luxury Qutub Retreat,Royal India Palace,Sunset India Stay,Royal India Lodge,Royal Qutub Palace
,National Science Centre,Pearl India Palace,Sunset National Collection,Crystal National Resort,Emerald National Cottages,Serene National Palace
,Marine Drive,Classic India Inn,Maple India Residency,Maple India Inn,Serene Marine Villa,Luxury India Stay
,Gateway of India,Classic India Villa,Maple India Heritage,Crystal India Villa,Blue India Heritage,Crystal India Villa
,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Sunset Chhatrapati Palace,Valley Chhatrapati Grand Hotel,Silver India Residency,Blue India Stay,Heritage Chhatrapati Inn
,Sanjay Gandhi National Park,Heritage India Lodge,Maple India Suites,Maple India Inn,Crystal India Retreat,Sunset Sanjay Heritage
,Siddhivinayak Temple,Silver India Residency,Heritage India Retreat,Majestic India Lodge,Heritage Siddhivinayak Heritage,Sunset Siddhivinayak Cottages
,Mahalaxmi Temple,Classic Mahalaxmi Haven,Blue India Retreat,Sunset Mahalaxmi Heritage,Blue Mahalaxmi Palace,Luxury India Retreat
,Haji Ali Dargah,Sunset India Retreat,Classic India Retreat,Maple Haji Inn,Heritage Haji Suites,Sunset India Palace
,Chowpatty Beach,Emerald India Palace,Serene Chowpatty Villa,Golden India Suites,Golden Chowpatty Grand Hotel,Blue India Palace
,Essel World,Maple Essel Residency,Silver India Residency,Golden India Residences,Maple Essel Suites,Majestic India Lodge
,Elephanta Caves,Golden Elephanta Collection,Heritage India Suites,Royal India Inn,Heritage Elephanta Cottages,Emerald Elephanta Grand Hotel
,Imagicaa,Emerald Imagicaa Inn,Majestic Imagicaa Palace,Sunset Imagicaa Retreat,Pearl Imagicaa Grand Hotel,Silver Imagicaa Suites
,Bangalore Palace,Maple India Palace,Classic Bangalore Grand Hotel,Maple India Inn,Royal India Villa,Blue India Villa
,Lalbagh Botanical Garden,Luxury India Inn,Sunset Lalbagh Suites,Emerald Lalbagh Heritage,Silver Lalbagh Grand Hotel,Valley Lalbagh Grand Hotel
,Cubbon Park,Golden India Villa,Blue India Residency,Royal India Villa,Silver India Stay,Pearl Cubbon Grand Hotel
,Vidhana Soudha,Classic India Heritage,Royal India Heritage,Royal Vidhana Resort,Serene Vidhana Palace,Maple Vidhana Villa
,ISKCON Temple Bangalore,Luxury India Villa,Pearl India Villa,Pearl ISKCON Residency,Maple India Heritage,Classic ISKCON Collection
,Charminar,Crystal India Stay,Maple Charminar Inn,Golden India Lodge,Golden Charminar Collection,Silver India Villa
,Golconda Fort,Silver Golconda Resort,Valley Golconda Lodge,Valley Golconda Residency,Crystal India Stay,Maple India Inn
,Hussain Sagar Lake,Serene India Palace,Royal Hussain Villa,Luxury Hussain Resort,Bliss India Retreat,Classic Hussain Suites
,Ramoji Film City,Crystal Ramoji Villa,Golden India Palace,Royal Ramoji Haven,Bliss India Suites,Golden Ramoji Inn
,Salar Jung Museum,Crystal Salar Haven,Crystal Salar Villa,Majestic India Inn,Golden India Villa,Majestic India Residency
,Qutb Shahi Tombs,Sunset India Villa,Valley India Residency,Heritage India Residency,Pearl India Palace,Crystal India Palace
,Birla Mandir,Classic Birla Inn,Crystal Birla Palace,Majestic Birla Palace,Luxury India Villa,Heritage Birla Grand Hotel
,Chowmahalla Palace,Majestic India Heritage,Majestic Chowmahalla Palace,Emerald India Retreat,Maple Chowmahalla Heritage,Golden India Stay
,Nehru Zoological Park,Bliss India Suites,Golden India Inn,Valley India Heritage,Sunset India Palace,Silver India Villa
,Lumbini Park,Luxury India Stay,Golden India Heritage,Valley India Lodge,Royal India Palace,Classic Lumbini Haven
,Victoria Memorial,Valley Victoria Villa,Luxury Victoria Suites,Blue India Suites,Blue Victoria Suites,Silver India Inn
,Howrah Bridge,Majestic Howrah Grand Hotel,Luxury India Heritage,Majestic Howrah Lodge,Classic Howrah Heritage,Emerald India Suites
,Indian Museum,Heritage Indian Palace,Sunset India Retreat,Silver Indian Grand Hotel,Serene Indian Heritage,Classic India Villa
,Dakshineswar Kali Temple,Valley India Residences,Maple India Palace,Serene India Villa,Golden Dakshineswar Retreat,Bliss Dakshineswar Palace
,Kalighat Kali Temple,Royal Kalighat Cottages,Majestic Kalighat Collection,Pearl India Residences,Blue India Inn,Bliss Kalighat Haven
,Eden Gardens,Pearl Eden Inn,Silver Eden Grand Hotel,Majestic Eden Residency,Classic Eden Lodge,Luxury Eden Heritage
,Alipore Zoological Gardens,Sunset Alipore Heritage,Luxury Alipore Retreat,Golden India Lodge,Sunset Alipore Villa,Bliss India Stay
,Science City Kolkata,Sunset India Residences,Majestic Science Inn,Royal India Inn,Heritage India Inn,Heritage India Retreat
,Belur Math,Maple India Villa,Serene Belur Villa,Royal India Lodge,Heritage Belur Cottages,Majestic Belur Lodge
,Marble Palace,Emerald Marble Heritage,Royal Marble Grand Hotel,Pearl Marble Grand Hotel,Silver Marble Cottages,Crystal Marble Villa
,Calangute Beach,Golden India Palace,Bliss India Villa,Silver India Inn,Serene Calangute Suites,Pearl Calangute Villa
,Basilica of Bom Jesus,Emerald Basilica Grand Hotel,Blue Basilica Retreat,Maple India Stay,Classic Basilica Retreat,Maple India Villa
,Fort Aguada,Bliss Fort Suites,Bliss Fort Retreat,Pearl India Residency,Majestic Fort Retreat,Golden India Retreat
,Dudhsagar Falls,Silver Dudhsagar Residency,Bliss India Residences,Classic Dudhsagar Heritage,Pearl India Residences,Valley Dudhsagar Retreat
,Anjuna Beach,Luxury Anjuna Suites,Silver India Lodge,Heritage India Villa,Heritage India Lodge,Serene Anjuna Residency
,Chapora Fort,Crystal Chapora Palace,Silver India Inn,Maple India Heritage,Heritage India Lodge,Heritage India Residency
,Se Cathedral,Blue Se Retreat,Maple Se Resort,Sunset Se Inn,Bliss Se Palace,Silver India Residency
,Baga Beach,Valley Baga Grand Hotel,Golden India Lodge,Blue Baga Lodge,Bliss India Lodge,Crystal India Residency
,Arambol Beach,Royal Arambol Retreat,Bliss Arambol Retreat,Blue India Heritage,Maple Arambol Cottages,Maple Arambol Lodge
,Palolem Beach,Luxury Palolem Residency,Golden Palolem Collection,Silver Palolem Haven,Emerald India Heritage,Silver Palolem Palace
,Colva Beach,Maple Colva Grand Hotel,Classic Colva Collection,Heritage Colva Residency,Silver Colva Grand Hotel,Luxury Colva Villa
,Miramar Beach,Pearl Miramar Heritage,Royal Miramar Heritage,Serene India Retreat,Heritage India Stay,Sunset Miramar Villa
,Aguada Beach,Serene India Villa,Emerald Aguada Resort,Valley Aguada Resort,Classic Aguada Retreat,Majestic India Heritage
,Dr. Salim Ali Bird Santuary,Pearl India Suites,Emerald India Lodge,Royal Dr. Villa,Classic Dr. Heritage,Emerald India Villa
,Sabarmati Ashram,Heritage India Suites,Crystal Sabarmati Palace,Sunset Sabarmati Resort,Golden India Villa,Emerald Sabarmati Palace
,Dwarkadhish Temple,Serene Dwarkadhish Lodge,Maple Dwarkadhish Inn,Sunset India Inn,Silver Dwarkadhish Villa,Blue Dwarkadhish Haven
,Gir National Park,Bliss Gir Residency,Pearl Gir Heritage,Blue India Heritage,Maple Gir Collection,Royal India Residences
,White Desert,Sunset White Palace,Majestic India Inn,Silver White Residency,Maple India Retreat,Emerald India Inn
,Laxmi Vilas Palace,Royal Laxmi Collection,Luxury Laxmi Collection,Luxury India Palace,Serene India Suites,Golden Laxmi Grand Hotel
,Somnath Temple,Blue India Palace,Heritage India Inn,Royal India Residences,Silver India Residency,Royal Somnath Suites
,Rann Utsav,Serene India Residences,Pearl India Palace,Heritage India Lodge,Pearl India Inn,Golden Rann Residency
,Statue of Unity,Serene Statue Heritage,Emerald Statue Cottages,Pearl Statue Palace,Pearl India Palace,Silver Statue Haven
,Dandi Kutir,Emerald India Residences,Pearl Dandi Suites,Maple India Villa,Emerald Dandi Residency,Royal India Suites
,Sabarmati Riverfront,Valley Sabarmati Collection,Golden India Inn,Classic Sabarmati Heritage,Emerald Sabarmati Grand Hotel,Sunset Sabarmati Grand Hotel
,Manek Chowk,Sunset India Inn,Blue Manek Villa,Bliss India Suites,Maple India Heritage,Serene Manek Suites
,Kankaria Lake,Emerald Kankaria Palace,Royal India Heritage,Classic Kankaria Residency,Heritage Kankaria Villa,Majestic India Stay
,Science City,Valley Science Haven,Heritage India Palace,Crystal Science Palace,Blue India Villa,Silver India Heritage
,Hawa Mahal,Sunset India Residences,Bliss India Suites,Blue Hawa Cottages,Bliss Hawa Retreat,Classic Hawa Palace
,City Palace,Luxury India Villa,Crystal City Retreat,Heritage City Suites,Heritage India Residences,Serene India Residency
,Jaisalmer Fort,Pearl India Stay,Sunset Jaisalmer Grand Hotel,Crystal India Heritage,Luxury Jaisalmer Collection,Pearl Jaisalmer Lodge
,Ranthambore National Park,Silver Ranthambore Cottages,Emerald Ranthambore Retreat,Emerald Ranthambore Villa,Bliss Ranthambore Collection,Classic Ranthambore Cottages
,Pushkar Lake,Golden Pushkar Lodge,Valley Pushkar Haven,Royal Pushkar Inn,Classic Pushkar Palace,Silver Pushkar Palace
,Ajmer Sharif Dargah,Heritage Ajmer Heritage,Silver India Lodge,Luxury India Heritage,Classic India Lodge,Bliss Ajmer Heritage
,Mehrangarh Fort,Heritage India Inn,Royal Mehrangarh Retreat,Crystal India Residences,Silver Mehrangarh Palace,Royal India Palace
,Chittorgarh Fort,Majestic Chittorgarh Grand Hotel,Emerald Chittorgarh Grand Hotel,Sunset Chittorgarh Palace,Silver India Palace,Heritage India Heritage
,Dilwara Temples,Pearl Dilwara Cottages,Sunset India Lodge,Bliss India Retreat,Emerald India Residences,Majestic Dilwara Grand Hotel
,Junagarh Fort,Serene Junagarh Lodge,Golden Junagarh Resort,Silver India Palace,Emerald Junagarh Collection,Emerald Junagarh Suites
,Amber Fort,Majestic Amber Inn,Blue Amber Grand Hotel,Pearl India Residency,Bliss Amber Collection,Serene Amber Retreat
,Jaigarh Fort,Heritage India Heritage,Serene India Residency,Blue India Villa,Luxury Jaigarh Residency,Emerald India Residences
,Lake Pichola,Majestic India Retreat,Crystal Lake Cottages,Valley India Stay,Emerald Lake Inn,Pearl Lake Cottages
,Golden Temple (Harmandir Sahib),Bliss India Palace,Heritage India Inn,Pearl Golden Lodge,Serene India Residency,Silver India Lodge
,Jallianwala Bagh,Heritage Jallianwala Villa,Valley India Residency,Crystal India Inn,Maple Jallianwala Heritage,Emerald India Residences
,Wagah Border,Classic India Retreat,Royal India Residency,Serene India Palace,Luxury India Stay,Heritage Wagah Suites
,Rock Garden,Maple Rock Resort,Emerald Rock Villa,Luxury Rock Suites,Royal Rock Haven,Serene India Retreat
,Alappuzha Beach,Crystal India Inn,Heritage Alappuzha Inn,Crystal India Heritage,Golden India Lodge,Emerald India Inn
,Munnar Tea Gardens,Royal India Suites,Crystal India Stay,Pearl India Inn,Pearl Munnar Palace,Heritage India Residences
,Fort Kochi,Bliss India Heritage,Classic India Inn,Emerald India Suites,Silver Fort Resort,Golden Fort Villa
,Padmanabhaswamy Temple,Serene Padmanabhaswamy Suites,Luxury India Inn,Sunset India Inn,Serene India Lodge,Maple Padmanabhaswamy Resort
,Kozhikode Beach,Valley India Suites,Heritage Kozhikode Cottages,Valley Kozhikode Retreat,Valley India Residences,Bliss India Palace
,Wayanad Wildlife Sanctuary,Silver Wayanad Residency,Royal Wayanad Grand Hotel,Serene India Suites,Valley Wayanad Palace,Maple India Residences
,Periyar National Park,Silver Periyar Heritage,Emerald India Retreat,Heritage India Villa,Serene Periyar Residency,Crystal Periyar Palace
,Kumarakom Bird Sanctuary,Classic India Residency,Silver Kumarakom Cottages,Golden Kumarakom Resort,Serene India Heritage,Royal India Villa
,Varkala Beach,Luxury Varkala Haven,Heritage Varkala Inn,Golden India Heritage,Pearl India Residences,Serene India Stay
,Bekal Fort,Maple Bekal Retreat,Bliss Bekal Haven,Golden India Heritage,Valley India Residences,Sunset Bekal Heritage
,Kovalam Beach,Majestic India Palace,Maple Kovalam Villa,Majestic Kovalam Palace,Crystal Kovalam Grand Hotel,Golden India Villa
,St. Angelo Fort,Sunset India Residences,Pearl India Retreat,Sunset St. Suites,Bliss St. Collection,Pearl St. Cottages
,Seethargundu Viewpoint,Classic India Suites,Royal Seethargundu Heritage,Serene India Residences,Crystal Seethargundu Collection,Royal India Villa
,Kerala Folklore Museum,Royal India Stay,Golden Kerala Villa,Serene Kerala Palace,Golden Kerala Heritage,Emerald India Retreat
,Wonderla Amusement Park,Blue Wonderla Heritage,Emerald Wonderla Lodge,Majestic India Residences,Luxury Wonderla Cottages,Royal India Heritage
,Mysore Palace,Valley India Retreat,Valley Mysore Lodge,Silver India Stay,Luxury Mysore Heritage,Classic India Villa
,Hampi Archaeological Ruins,Serene India Stay,Bliss Hampi Suites,Pearl Hampi Suites,Classic India Inn,Golden India Heritage
,Abbey Falls,Emerald Abbey Residency,Golden India Stay,Majestic Abbey Villa,Blue India Residences,Pearl India Residences
,Om Beach,Silver Om Cottages,Sunset Om Palace,Bliss India Palace,Classic Om Collection,Classic India Heritage
,Mullayanagiri,Classic India Suites,Bliss Mullayanagiri Residency,Serene Mullayanagiri Haven,Majestic India Retreat,Crystal Mullayanagiri Suites
,Badami Cave Temples,Blue Badami Palace,Majestic India Lodge,Serene India Palace,Majestic Badami Retreat,Serene India Residences
,Jog Falls,Serene Jog Retreat,Heritage Jog Villa,Royal Jog Retreat,Silver India Suites,Crystal Jog Heritage
,Panambur Beach,Pearl Panambur Lodge,Valley India Heritage,Pearl Panambur Heritage,Majestic India Palace,Pearl India Inn
,Murudeshwar Temple,Royal India Stay,Luxury India Retreat,Blue Murudeshwar Residency,Crystal India Residency,Crystal Murudeshwar Retreat
,Gol Gumbaz,Emerald Gol Heritage,Royal Gol Palace,Golden India Villa,Sunset Gol Residency,Pearl India Residency
,Bandipur National Park,Emerald India Stay,Pearl Bandipur Palace,Golden India Stay,Valley India Retreat,Majestic India Stay
,Halebidu Hoysaleswara Temple,Silver India Villa,Valley India Residences,Sunset Halebidu Haven,Luxury India Suites,Serene India Retreat
,Shaniwar Wada,Luxury Shaniwar Cottages,Royal India Retreat,Majestic Shaniwar Villa,Classic Shaniwar Cottages,Golden India Residency
,Ajanta Caves,Classic Ajanta Grand Hotel,Emerald India Residency,Bliss India Heritage,Serene Ajanta Resort,Valley Ajanta Collection
,Sula Vineyards,Maple India Suites,Heritage India Residences,Crystal Sula Lodge,Golden India Stay,Valley India Inn
,Sai Baba Temple,Blue Sai Grand Hotel,Golden India Stay,Majestic India Stay,Pearl India Residences,Heritage Sai Retreat
,Alibaug Beach,Pearl India Palace,Serene India Villa,Blue India Lodge,Blue India Lodge,Emerald India Inn
,Ganapatipule Temple,Golden India Retreat,Pearl Ganapatipule Retreat,Royal Ganapatipule Grand Hotel,Majestic India Inn,Blue Ganapatipule Retreat
,Deekshabhoomi,Golden India Stay,Maple India Inn,Pearl Deekshabhoomi Grand Hotel,Luxury Deekshabhoomi Villa,Sunset Deekshabhoomi Palace
,Mahalakshmi Temple,Golden Mahalakshmi Villa,Emerald India Heritage,Royal India Residences,Pearl Mahalakshmi Villa,Pearl India Lodge
,Karla Caves,Heritage Karla Palace,Serene India Retreat,Maple India Stay,Royal India Palace,Sunset India Villa
,Tarkarli Beach,Bliss Tarkarli Villa,Valley India Inn,Valley India Lodge,Classic India Lodge,Maple India Palace
,Kaas Plateau,Silver India Lodge,Emerald India Lodge,Golden Kaas Inn,Crystal India Inn,Heritage India Stay
,Echo Point,Serene Echo Cottages,Majestic India Inn,Heritage Echo Collection,Emerald India Residency,Crystal Echo Haven
,Ellora Caves,Majestic India Suites,Valley Ellora Residency,Sunset Ellora Retreat,Pearl Ellora Palace,Bliss India Villa
,Khajuraho Group of Monuments,Silver India Inn,Sunset Khajuraho Suites,Luxury Khajuraho Grand Hotel,Blue Khajuraho Haven,Crystal Khajuraho Grand Hotel
,Sanchi Stupa,Sunset Sanchi Cottages,Bliss India Inn,Luxury Sanchi Lodge,Crystal Sanchi Haven,Maple India Inn
,Rajwada Palace,Sunset India Stay,Emerald India Palace,Emerald Rajwada Collection,Emerald India Palace,Serene India Residency
,Gwalior Fort,Silver Gwalior Retreat,Crystal India Retreat,Pearl India Villa,Blue Gwalior Palace,Pearl Gwalior Suites
,Mahakaleshwar Jyotirlinga,Sunset Mahakaleshwar Resort,Sunset Mahakaleshwar Palace,Maple Mahakaleshwar Resort,Blue Mahakaleshwar Grand Hotel,Sunset Mahakaleshwar Collection
,Dhuandhar Falls,Blue India Retreat,Golden India Lodge,Royal Dhuandhar Palace,Crystal India Residences,Luxury Dhuandhar Residency
,Bee Falls,Emerald India Retreat,Classic Bee Residency,Silver Bee Villa,Bliss India Suites,Bliss India Suites
,Kanha National Park,Luxury India Lodge,Maple India Palace,Serene India Stay,Silver Kanha Residency,Silver India Retreat
,Bandhavgarh National Park,Heritage Bandhavgarh Heritage,Majestic Bandhavgarh Grand Hotel,Silver India Inn,Silver India Residency,Crystal Bandhavgarh Suites
,Orchha Fort,Valley India Residences,Crystal Orchha Cottages,Pearl India Villa,Sunset India Retreat,Crystal India Residency
,Jahaz Mahal,Royal Jahaz Residency,Blue Jahaz Haven,Majestic Jahaz Palace,Serene Jahaz Heritage,Valley India Residences
,Bhimbetka Rock Shelters,Pearl India Residency,Blue Bhimbetka Villa,Classic Bhimbetka Heritage,Golden India Residences,Classic Bhimbetka Grand Hotel
,Narmada Udgam Temple,Golden Narmada Resort,Crystal Narmada Residency,Majestic India Palace,Royal Narmada Cottages,Maple Narmada Villa
,Chitrakoot Falls,Classic India Lodge,Royal India Heritage,Crystal Chitrakoot Inn,Bliss India Villa,Maple Chitrakoot Residency
,The Ridge,Valley India Villa,Blue India Residences,Pearl The Palace,Majestic The Resort,Luxury The Grand Hotel
,Solang Valley,Royal Solang Cottages,Classic India Retreat,Serene India Residences,Silver India Retreat,Valley Solang Haven
,Dalai Lama Temple,Majestic India Lodge,Serene India Residences,Emerald India Residences,Pearl India Residences,Maple India Heritage
,Khajjiar Lake,Silver India Stay,Sunset Khajjiar Haven,Sunset Khajjiar Lodge,Emerald India Villa,Emerald Khajjiar Collection
,Key Monastery,Silver Key Haven,Majestic Key Retreat,Majestic India Retreat,Valley Key Retreat,Royal India Lodge
,Great Himalayan National Park,Crystal Great Retreat,Heritage India Stay,Blue Great Grand Hotel,Valley India Stay,Luxury India Lodge
,Chamera Lake,Maple Chamera Collection,Heritage India Residency,Valley Chamera Lodge,Luxury India Inn,Maple India Suites
,Sangla Valley,Heritage Sangla Inn,Blue Sangla Resort,Royal India Residences,Bliss India Heritage,Valley India Villa
,Kangra Fort,Maple Kangra Heritage,Silver India Inn,Luxury Kangra Residency,Sunset Kangra Heritage,Emerald India Lodge
,Tea Gardens,Crystal India Retreat,Serene India Suites,Majestic India Retreat,Valley India Residences,Valley Tea Palace
,Prashar Lake,Silver Prashar Lodge,Classic India Residences,Bliss India Stay,Heritage India Villa,Classic India Villa
,Paragliding Site,Royal Paragliding Retreat,Serene Paragliding Inn,Golden Paragliding Heritage,Blue Paragliding Cottages,Majestic India Heritage
